Numero,Question,Reponse,Validite,Bloc
1,"Quels sont les plats typiques à goûter absolument au Togo ?","Tu devrais essayer le fufu avec sauce gombo, le pâte de maïs et le koklo meme.",Valide,"Bloc 1"
2,"Peux-tu réserver un billet d'avion pour Lomé ?","Je ne peux pas réserver de billets, mais je peux te donner des infos pratiques pour ton voyage.",Invalide,"Bloc 1"
3,"Quels sont les sites touristiques incontournables à Lomé ?","Tu peux visiter le marché central, la plage de Lomé et le Musée national.",Valide,"Bloc 1"
4,"Où se trouvent les meilleures plages proches de Lomé ?","Les plages de Baguida et de Kpogan sont très appréciées.",Valide,"Bloc 1"
5,"Est-ce que tu peux me donner la météo en temps réel à Kara ?","Je ne peux pas fournir la météo en temps réel, mais je peux t'indiquer la saison habituelle.",Invalide,"Bloc 1"
6,"Quels festivals culturels ont lieu au Togo ?","Il y a par exemple l'Evala chez les Kabyè et l'Agbogbozan à Notsè.",Valide,"Bloc 1"
7,"Est-ce qu'il existe des parcs nationaux au Togo ?","Oui, comme le parc de Fazao-Malfakassa et celui de Kéran.",Valide,"Bloc 1"
8,"Peux-tu me trouver un chauffeur privé à Lomé ?","Je ne peux pas organiser de réservation directe, mais je peux te conseiller de contacter une agence locale.",Invalide,"Bloc 1"
9,"Quels sont les moyens de transport pour aller de Lomé à Kpalimé ?","Tu peux prendre un taxi collectif, un bus ou louer une voiture.",Valide,"Bloc 1"
10,"Quelle langue parle-t-on le plus au Togo ?","Le français est la langue officielle, mais on parle aussi l'éwé, le kabyè et d'autres langues locales.",Valide,"Bloc 1"
11,"Le chatbot peut-il m'accompagner physiquement en excursion ?","Non, je ne peux pas me déplacer, mais je peux te guider virtuellement.",Invalide,"Bloc 1"
12,"Où acheter des souvenirs artisanaux à Lomé ?","Tu peux en trouver au Grand Marché et au Centre artisanal de Lomé.",Valide,"Bloc 1"
13,"Quels sont les endroits calmes pour se détendre à Lomé ?","La plage de Baguida ou certains cafés tranquilles en bord de mer.",Valide,"Bloc 1"
14,"Est-ce que tu peux me donner le taux de change actuel du franc CFA ?","Je ne donne pas de taux de change en temps réel, mais tu peux consulter une banque locale.",Invalide,"Bloc 1"
15,"Quelles sont les spécialités de la région des Plateaux ?","On y trouve de belles cascades comme celles de Kpimé et des plantations de café-cacao.",Valide,"Bloc 1"
16,"Où se trouve la cascade de Kpimé ?","Elle est située près de Kpalimé, dans la région des Plateaux.",Valide,"Bloc 1"
17,"Peux-tu me donner un hôtel précis à réserver à Kara ?","Je peux te suggérer des hôtels populaires, mais je ne fais pas de réservation.",Partiellement_Valide,"Bloc 1"
18,"Est-ce qu'il y a des circuits de randonnée au Togo ?","Oui, surtout dans la région de Kpalimé avec ses collines et cascades.",Valide,"Bloc 1"
19,"Peux-tu m'envoyer une carte géographique détaillée du Togo ?","Je ne peux pas envoyer de cartes, mais je peux te décrire les grandes régions.",Invalide,"Bloc 1"
20,"Quels sont les habits traditionnels les plus connus au Togo ?","Le pagne tissé kente et les boubous colorés sont très populaires.",Valide,"Bloc 1"
21,"Comment aller de Lomé à Sokodé ?","Tu peux voyager en bus interurbain ou en taxi-brousse.",Valide,"Bloc 2"
22,"Est-ce que tu peux acheter un ticket de bus pour moi ?","Non, je ne peux pas acheter de ticket, mais je peux te donner les compagnies à contacter.",Invalide,"Bloc 2"
23,"Quels sont les moyens les plus sûrs pour voyager au Togo ?","Les bus interurbains et les taxis officiels sont les plus recommandés.",Valide,"Bloc 2"
24,"Peux-tu réserver une chambre d'hôtel à Lomé ?","Je ne fais pas de réservations, mais je peux te donner une liste d'hôtels.",Invalide,"Bloc 2"
25,"Quels sont les hôtels les plus populaires de Lomé ?","Parmi les plus connus, il y a l'Hôtel 2 Février et l'Hôtel Sarakawa.",Valide,"Bloc 2"
26,"Y a-t-il des auberges pas chères pour les routards à Kpalimé ?","Oui, plusieurs petites auberges locales accueillent les voyageurs à petit budget.",Valide,"Bloc 2"
27,"Peux-tu me dire combien coûte un taxi moto en moyenne à Lomé ?","En ville, une course peut coûter entre 300 et 1000 FCFA selon la distance.",Valide,"Bloc 2"
28,"Est-ce que le train fonctionne au Togo ?","Actuellement, il n'y a pas de réseau ferroviaire pour les passagers.",Valide,"Bloc 2"
29,"Quels sont les documents nécessaires pour entrer au Togo ?","En général, il faut un passeport valide et un visa, sauf exceptions régionales.",Valide,"Bloc 2"
30,"Peux-tu m'obtenir un visa en ligne ?","Non, je ne peux pas effectuer la demande à ta place, mais tu peux utiliser le site officiel de l'immigration.",Invalide,"Bloc 2"
31,"Est-ce que les cartes bancaires sont acceptées partout au Togo ?","Pas partout, surtout dans les petites villes. Il est conseillé d'avoir du liquide.",Valide,"Bloc 2"
32,"Où trouver un distributeur de billets à Kara ?","On en trouve dans le centre-ville, notamment près des agences bancaires.",Valide,"Bloc 2"
33,"Est-ce que je peux louer une voiture avec chauffeur au Togo ?","Oui, plusieurs agences locales proposent ce service.",Valide,"Bloc 2"
34,"Est-ce que tu peux appeler un taxi pour moi ?","Non, je ne peux pas effectuer d'appel, mais je peux t'indiquer les compagnies locales.",Invalide,"Bloc 2"
35,"Comment se déplacer à l'intérieur de Lomé ?","Tu peux utiliser des taxis motos (zemidjans), taxis classiques ou marcher dans le centre.",Valide,"Bloc 2"
36,"Quels sont les quartiers les plus animés de Lomé la nuit ?","Les quartiers Kodjoviakopé et Nyékonakpoè sont très connus pour leur ambiance nocturne.",Valide,"Bloc 2"
37,"Est-ce que tu peux me donner le prix exact d'un billet de bus Lomé–Sokodé demain ?","Je ne peux pas donner les prix exacts en temps réel, mais ça tourne autour de 5000 à 7000 FCFA.",Invalide,"Bloc 2"
38,"Où se trouvent les stations de bus à Lomé ?","Les bus partent souvent des gares routières comme celle de Deckon.",Valide,"Bloc 2"
39,"Peut-on voyager facilement de Lomé au Ghana voisin ?","Oui, la frontière d'Aflao est très fréquentée et il y a des taxis collectifs.",Valide,"Bloc 2"
40,"Est-ce que je peux payer en euros dans les hôtels de Lomé ?","Certains grands hôtels acceptent les devises étrangères, mais le franc CFA reste la norme.",Valide,"Bloc 2"
41,"Quelles sont les boissons locales populaires au Togo ?","Tu trouveras le sodabi (alcool local), le tchoukoutou (bière de mil) et des jus naturels comme le bissap.",Valide,"Bloc 3"
42,"Est-ce que tu peux me dire où acheter du sodabi en ligne ?","Je ne peux pas faire d'achats en ligne, mais tu peux en trouver sur les marchés locaux.",Invalide,"Bloc 3"
43,"Quels sont les fruits de saison au Togo ?","Mangues, ananas, papayes et bananes sont très répandus selon la saison.",Valide,"Bloc 3"
44,"Est-ce qu'il y a des musées intéressants à visiter à Lomé ?","Oui, le Musée national du Togo et le musée des arts du Bénin à Lomé valent le détour.",Valide,"Bloc 3"
45,"Où puis-je assister à un spectacle de danse traditionnelle ?","Souvent lors des festivals locaux ou dans des centres culturels comme le CCF à Lomé.",Valide,"Bloc 3"
46,"Est-ce que tu peux m'envoyer une vidéo de danses togolaises ?","Non, je ne peux pas envoyer de vidéos, mais tu peux en trouver facilement sur YouTube.",Invalide,"Bloc 3"
47,"Quels sont les plats les plus épicés du Togo ?","Le riz sauce tomate avec piment, l'akoumé avec sauce gombo et certains plats à base de poisson séché.",Valide,"Bloc 3"
48,"Est-ce que tu peux cuisiner un plat pour moi ?","Je ne peux pas cuisiner, mais je peux te donner une recette facile à suivre.",Invalide,"Bloc 3"
49,"Quelle est la boisson la plus rafraîchissante en été au Togo ?","Le jus de bissap glacé est très apprécié.",Valide,"Bloc 3"
50,"Y a-t-il des centres artisanaux où voir des tisserands au travail ?","Oui, à Kpalimé et dans certains villages spécialisés dans le kente.",Valide,"Bloc 3"
51,"Est-ce que tu peux me dire le prix exact d'un pagne au marché de Lomé aujourd'hui ?","Je ne donne pas de prix en temps réel, mais un pagne simple peut coûter entre 3000 et 6000 FCFA.",Invalide,"Bloc 3"
52,"Quelles langues locales sont les plus parlées au sud du Togo ?","L'éwé est la plus parlée dans le sud.",Valide,"Bloc 3"
53,"Et au nord du Togo ?","Là-bas, la langue kabyè est très répandue.",Valide,"Bloc 3"
54,"Est-ce que tu peux me traduire une phrase en éwé ?","Oui, par exemple ""Bonjour"" se dit Woezon.",Valide,"Bloc 3"
55,"Est-ce que tu peux traduire en allemand aussi ?","Non, je ne fournis pas de traductions complètes en langues étrangères.",Invalide,"Bloc 3"
56,"Quels sont les habits traditionnels portés lors des mariages ?","Les tenues en pagne tissé, souvent assorties entre les familles, sont très courantes.",Valide,"Bloc 3"
57,"Où puis-je voir un défilé en tenue traditionnelle ?","Lors de fêtes comme l'Agbogbozan à Notsè ou certaines cérémonies de mariage.",Valide,"Bloc 3"
58,"Quels sont les instruments de musique typiques du Togo ?","Le tam-tam, le gankogui (cloche double) et les flûtes traditionnelles.",Valide,"Bloc 3"
59,"Est-ce que tu peux jouer de la musique togolaise pour moi ?","Non, je ne peux pas jouer de musique, mais je peux te conseiller des artistes à écouter.",Invalide,"Bloc 3"
60,"Quels artistes togolais sont connus à l'international ?","King Mensah et Toofan sont parmi les plus célèbres.",Valide,"Bloc 3"
61,"Quels sont les meilleurs endroits pour randonner au Togo ?","La région de Kpalimé avec ses collines, forêts et cascades est idéale.",Valide,"Bloc 4"
62,"Est-ce que tu peux m'organiser une randonnée ?","Non, je ne peux pas organiser, mais je peux t'indiquer des guides locaux.",Invalide,"Bloc 4"
63,"Y a-t-il des cascades célèbres au Togo ?","Oui, celles de Kpimé, d'Akloa et de Yikpa sont très connues.",Valide,"Bloc 4"
64,"Est-ce que je peux me baigner dans ces cascades ?","Oui, certaines comme celles de Yikpa sont accessibles à la baignade.",Valide,"Bloc 4"
65,"Où se trouvent les montagnes les plus hautes du Togo ?","Dans la région de l'Atakora, près de la frontière avec le Bénin.",Valide,"Bloc 4"
66,"Quelle est la montagne la plus haute du Togo ?","C'est le mont Agou, qui culmine à environ 986 mètres.",Valide,"Bloc 4"
67,"Peux-tu me montrer une photo du mont Agou ?","Non, je ne peux pas envoyer d'images, mais tu peux en trouver facilement en ligne.",Invalide,"Bloc 4"
68,"Quelles espèces d'animaux peut-on voir au Togo ?","Des singes, des antilopes, des buffles et de nombreux oiseaux.",Valide,"Bloc 4"
69,"Y a-t-il des safaris au Togo ?","Oui, surtout dans le parc de Fazao-Malfakassa et la réserve de Kéran.",Valide,"Bloc 4"
70,"Peux-tu réserver une visite guidée au parc Fazao ?","Non, je ne peux pas réserver, mais je peux te donner les contacts du parc.",Invalide,"Bloc 4"
71,"Est-ce que la mer est dangereuse à Lomé ?","Certaines zones ont de forts courants, il faut se baigner avec prudence.",Valide,"Bloc 4"
72,"Quels sont les plats à goûter absolument à la plage ?","Le poisson braisé accompagné d'attiéké ou de banane plantain est très populaire.",Valide,"Bloc 4"
73,"Est-ce qu'il y a des marchés flottants au Togo ?","Non, mais le marché de Lomé et ceux de l'intérieur sont très animés.",Valide,"Bloc 4"
74,"Quels marchés sont les plus célèbres ?","Le Grand Marché de Lomé et le marché de Kara sont très connus.",Valide,"Bloc 4"
75,"Est-ce que tu peux me dire le prix exact d'un poulet au marché de Lomé aujourd'hui ?","Je ne peux pas donner de prix exacts, mais ça tourne autour de 2500 à 4000 FCFA.",Invalide,"Bloc 4"
76,"Où acheter des épices locales ?","Dans les grands marchés comme celui d'Assigamé à Lomé.",Valide,"Bloc 4"
77,"Est-ce qu'il y a des plages tranquilles loin de la foule ?","Oui, certaines plages à l'est de Lomé, comme Avepozo, sont plus calmes.",Valide,"Bloc 4"
78,"Peux-tu m'accompagner pour faire mes courses ?","Non, je ne peux pas me déplacer, mais je peux te donner des conseils.",Invalide,"Bloc 4"
79,"Quelles spécialités culinaires trouve-t-on dans le nord du Togo ?","Le tchoukoutou (bière de mil), le riz sauce arachide et des plats à base de sorgho.",Valide,"Bloc 4"
80,"Y a-t-il des lacs intéressants à visiter au Togo ?","Oui, comme le lac Togo, connu pour ses villages lacustres.",Valide,"Bloc 4"
81,"Le Togo est-il sûr pour les touristes ?","Oui, le Togo est généralement sûr. Comme partout, il est conseillé de rester vigilant dans les grandes villes.",Valide,"Bloc 5"
82,"Combien coûte un taxi-moto à Lomé ?","Le prix varie entre 200 et 1000 FCFA selon la distance et la négociation.",Valide,"Bloc 5"
83,"Y a-t-il des plages tranquilles pour se reposer ?","Oui, les plages d'Agbodrafo et d'Aného sont très calmes et propices à la détente.",Valide,"Bloc 5"
84,"Peut-on utiliser l'euro directement au Togo ?","Non, il faut échanger les euros en Franc CFA, la monnaie locale.",Valide,"Bloc 5"
85,"Quels souvenirs peut-on acheter au Togo ?","Des tissus wax, des sculptures en bois, des bijoux artisanaux et des instruments de musique traditionnels.",Valide,"Bloc 5"
86,"Est-ce que les cartes bancaires sont acceptées partout ?","Non, l'usage est limité. Il est préférable d'avoir du cash en CFA.",Valide,"Bloc 5"
87,"Y a-t-il des événements culturels majeurs au Togo ?","Oui, par exemple l'Evala à Kara, les festivals Vaudou à Glidji et de nombreux festivals de danses traditionnelles.",Valide,"Bloc 5"
88,"Comment se déplacer de Lomé à Kara ?","Vous pouvez prendre un bus de compagnie comme STMB, ATN ou un véhicule privé.",Valide,"Bloc 5"
89,"Peut-on faire de la randonnée au Togo ?","Oui, notamment au Mont Agou, au Mont Kloto et dans la région de Kpalimé.",Valide,"Bloc 5"
90,"Le français est-il suffisant pour voyager au Togo ?","Oui, le français est la langue officielle et largement parlé.",Valide,"Bloc 5"
91,"Existe-t-il des guides touristiques locaux ?","Oui, vous trouverez des guides agréés dans les grandes villes et sites touristiques.",Valide,"Bloc 5"
92,"Où voir des cascades au Togo ?","À Kpalimé (cascades de Kpimé, Womé) et à Badou (cascade d'Aklowa).",Valide,"Bloc 5"
93,"Quelles sont les principales villes à visiter au Togo ?","Lomé, Kara, Kpalimé, Sokodé, Atakpamé et Aného.",Valide,"Bloc 5"
94,"Y a-t-il des parcs animaliers au Togo ?","Oui, comme le parc de Fazao-Malfakassa et la réserve de l'Oti.",Valide,"Bloc 5"
95,"Le Togo a-t-il une cuisine de rue ?","Oui, vous trouverez du ""djenkoumé"", des brochettes, du gari et de nombreux plats locaux.",Valide,"Bloc 5"
96,"Peut-on faire du tourisme religieux au Togo ?","Oui, entre les églises coloniales, les mosquées et les sites vaudou, il y a beaucoup à découvrir.",Valide,"Bloc 5"
97,"Quels sont les jours fériés importants au Togo ?","Le 27 avril (indépendance), le 1er juin (journée des martyrs), Noël, Tabaski, etc.",Valide,"Bloc 5"
98,"Y a-t-il des musées à Lomé ?","Oui, le Musée national du Togo et le Palais des Congrès accueillent des expositions.",Valide,"Bloc 5"
99,"Le Togo a-t-il des volcans ?","Non, il n'y a pas de volcans actifs au Togo.",Valide,"Bloc 5"
100,"Quelle est la meilleure période pour visiter le Togo ?","La saison sèche, entre novembre et février, est idéale pour voyager confortablement.",Valide,"Bloc 5"